 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"50 Mato Grosso do Sul";9636;11206;12012;12609;13120;14507;13668;13334;14023;13170;12013;11623;12406;12076;13079;13510;13623;13430;13898;13435;13642;13490;12874;12574;13509;13847;13980;13845;14182;13982;13387;13469;13962;13512;13299;13076;12774;12251;13386;13438;12894;12958;13387;13082;13749;12550;12769;13119;11791;12391;12714;12833;13066;13206;13467;13934;13313;13064;11962;12327;13190;12869;13389;13296;13287;14148;14534;14949;13824;14199;14099;12888;13190;12925;13000;13506;13935;13328;13582;15173;13091;13176;13537;13109;13010;13382;13778;14261;14265;14237;14219;13880;14084;13692;13258;12053;13642;13073;13635;13534;13693;13976;14128;14093;13855;13127;13323;13119;12981;12566;13235;13226;14140;14051;14272;14385;13750;13934;13665;13411;13480;14282;13502;13927;14360;14969;14634;13642;14179;13788;13695;13117;14192;14263;13738;15213;15039;15049;15751;15505;15057;15188;14073;14234;14709;15080;15059;13199;12779;12150;12377;12149;11795;11682;12353;11297;12114;12987;12597;2137794
"51 Mato Grosso";9975;14329;14124;14822;14620;16373;15433;15374;14070;16011;13772;14256;13973;13427;16026;15127;15967;16037;15171;14993;14259;15312;14639;14179;14692;14565;15505;15382;15690;14797;15572;15192;15347;15186;15126;13955;14669;14179;14492;15785;14467;14255;14187;12953;15200;14567;14558;14865;13435;13831;15500;15665;15490;16298;15800;15723;15735;14951;14926;15128;14783;15061;15587;15912;15352;16193;15008;15564;15016;14990;15521;15526;14531;14489;15462;15815;15828;15796;15876;15772;15714;15567;15834;14466;14481;14662;15593;15712;16412;16115;15911;15609;16016;16106;15571;15447;15727;14877;16312;16931;16151;16742;16440;16685;16725;16145;15300;14436;15089;14786;15840;16378;16659;15595;16201;16501;15913;15962;15548;14931;16002;14645;16674;16113;16591;16184;16499;15367;16147;15868;15175;14846;14849;14785;16476;16261;17262;16278;16422;17444;16358;17215;16051;15752;15222;15545;15000;12819;13320;12219;12943;14011;13774;15014;13667;13776;14266;13371;12039;2421359
"52 Goiás";26465;34641;32161;32994;32742;27990;30697;30863;32003;30002;24986;27104;26411;28824;30928;31076;32108;30969;30315;30457;30352;31111;30799;30463;30912;31637;32747;31502;31871;30591;29894;31291;31608;30466;30335;28762;29911;30014;32014;30941;29960;28568;28906;29658;30111;29103;28690;27316;27328;27998;29378;29138;28249;27749;26299;27122;27984;27345;26301;25492;26840;27443;28929;31247;30896;29275;28680;29395;30080;28696;29184;27438;29144;27403;27724;29548;30401;28993;29738;29649;30155;30436;27954;28583;28784;27932;31168;30478;31101;30658;29486;28927;28609;28587;28693;26600;27414;27343;29624;29104;27467;28518;26811;28327;27091;25905;25323;25530;25952;25391;28116;27658;29698;28400;27397;27269;27875;28079;27302;26601;27422;25698;27890;27058;28492;27290;27002;27281;27826;27313;26394;26844;27096;26207;27783;28604;29738;28923;29715;29813;29175;29984;28449;27449;27430;26997;27242;22536;23196;22667;24211;26023;25280;26490;25141;25299;25570;22514;21516;4532259
"53 Distrito Federal";7754;12057;14746;14754;16759;17907;17778;18935;16208;19644;15021;16454;14697;12286;15658;15366;17818;18101;15968;16164;15826;16366;14682;13317;16298;13506;16704;16422;17032;15195;15558;15850;15067;14737;14643;13775;14453;14410;16339;17135;17709;16457;16115;14982;14845;14584;13065;13084;15110;15083;14756;16860;15685;15364;16336;16998;14916;15733;15211;13242;15300;17273;17636;16778;17532;15191;16620;16948;15532;15178;14271;10904;13809;13777;14247;12724;16166;14376;16253;16882;16064;15817;13925;12333;13714;13570;15180;15522;16094;15412;15557;14488;13672;12829;13648;12407;13128;13095;15768;16244;17089;16362;15114;17507;15554;15288;15847;15207;16631;16430;18563;16146;16295;15365;14742;16273;17050;17180;16468;15334;15604;16420;17820;18192;18943;19990;20646;20828;18002;16142;15461;13892;18401;18473;21607;19459;20326;18765;19976;21838;17908;18218;16924;17719;20213;19218;21460;18769;16481;16610;16360;16438;15747;17162;16379;17706;19145;17669;20365;2559110
"Total";651615;824348;889296;916303;944567;963816;973736;959556;955490;948185;856024;860667;829164;845575;944889;928836;964271;944227;964845;961473;955836;952503;936962;900228;919891;882894;968799;964479;981715;945855;958727;965996;952785;942332;945457;929035;919607;909568;957377;959450;955330;944025;969386;936688;945423;937398;929181;918138;891324;879909;959321;942655;972843;952789;954068;956391;925784;920917;894230;842358;885731;858673;921443;960357;966616;944932;966194;974165;948254;965762;922946;882087;924971;899389;912747;923068;976560;935747;976338;982036;979298;977116;943535;889482;910439;882933;967987;967912;983744;973342;986558;971414;955193;951612;929859;896723;899463;905332;962646;964518;972642;976958;967712;983409;945324;929000;901437;888627;894500;873186;968166;931001;1001476;974174;980882;995404;973989;978267;959215;939601;953217;914059;994222;1006271;1018405;997341;1014144;1020329;989064;1007504;968737;933348;981163;947852;997216;1016479;1064017;1017673;1050891;1057626;1029394;1052862;999315;967238;1000995;967287;956433;775274;786478;791394;847569;858158;865916;906970;894521;862227;878586;856293;856749;149369846
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
